bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,69,0.2318840579710145,0.015400021934861383,0.21648403603615313
1,0.1,0.2,15,0.4666666666666667,0.14708478066197375,0.31958188600469295
2,0.2,0.3,7,0.42857142857142855,0.259864284997638,0.16870714357379057
3,0.3,0.4,1,1.0,0.3045275962248775,0.6954724037751225
4,0.4,0.5,6,0.6666666666666666,0.4400432058933251,0.22662346077334156
5,0.5,0.6,5,0.6,0.5160578319014422,0.08394216809855781
6,0.6,0.7,5,1.0,0.6626867413509372,0.3373132586490628
7,0.7,0.8,7,0.2857142857142857,0.7421963227150458,0.45648203700076007
8,0.8,0.9,12,0.6666666666666666,0.8540518886591996,0.18738522199253294
9,0.9,1.0,73,0.863013698630137,0.9855669935958418,0.12255329496570477
