bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,141,0.1347517730496454,0.009884593469772933,0.12486717957987245
1,0.1,0.2,6,0.5,0.1508858434920818,0.3491141565079182
2,0.2,0.30000000000000004,8,0.375,0.24620589561068534,0.12879410438931466
3,0.30000000000000004,0.4,1,1.0,0.30382082947201466,0.6961791705279854
4,0.4,0.5,3,0.3333333333333333,0.43378339066330956,0.10045005732997625
5,0.5,0.6000000000000001,1,0.0,0.5721787851755142,0.5721787851755142
6,0.6000000000000001,0.7000000000000001,5,0.6,0.6341164964331358,0.03411649643313586
7,0.7000000000000001,0.8,6,0.6666666666666666,0.7696438975249759,0.10297723085830923
8,0.8,0.9,9,0.3333333333333333,0.8426112204568013,0.509277887123468
9,0.9,1.0,20,0.45,0.9777097059430112,0.5277097059430111
